Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
164,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,28-129,1994,10,5,545,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2200181e
165,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-206,1991,20,13,1244,13.8,1,1,2,1,0,0,2,0,1.9,1.9,1.5,3.3,16,49,52,0.07,0.07,0.14,0.07,0.14,0.13,0.11,0.24,0.13,0.24,420d7c7d
166,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21-343,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ce81d82d
167,Sardar Azmoun,ir IRN,FWMF,Leverkusen,de Bundesliga,28-077,1995,14,5,557,6.2,2,1,3,2,0,0,1,0,2.4,2.4,2.1,4.5,5,25,38,0.32,0.16,0.48,0.32,0.48,0.38,0.34,0.72,0.38,0.72,10549b49
168,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,33-203,1989,19,11,1106,12.3,0,0,0,0,0,0,3,0,0.3,0.3,1.0,1.3,17,59,60,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,53cad200
169,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,19-073,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f582d5c1
170,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,27-056,1996,18,13,1085,12.1,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,3,31,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,bfd381b3
171,Sr?an Babi?,rs SRB,DF,Almería,es La Liga,26-331,1996,23,22,2025,22.5,1,0,1,1,0,0,3,0,0.9,0.9,0.2,1.1,17,47,4,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,075fe5a3
172,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22-342,2000,7,6,538,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,4,27,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,114bbdee
173,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22-342,2000,1,1,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,0,3,0,0.00,1.00,1.00,0.00,1.00,0.20,0.06,0.26,0.20,0.26,114bbdee
