Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
1494,Ademola Lookman,ng NGA,FWMF,Atalanta,it Serie A,25-150,1997,26,19,1536,17.1,12,4,16,9,3,3,3,0,8.2,5.8,5.9,11.7,69,65,165,0.70,0.23,0.94,0.53,0.76,0.48,0.34,0.83,0.34,0.69,7c104bb7
1495,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32-169,1990,22,22,1916,21.3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f00de885
1496,Rony Lopes,pt POR,MFFW,Troyes,fr Ligue 1,27-081,1995,23,21,1637,18.2,4,5,9,4,0,0,2,0,3.9,3.9,4.0,8.0,42,62,77,0.22,0.27,0.49,0.22,0.49,0.22,0.22,0.44,0.22,0.44,7c2965bb
1497,David López,es ESP,DF,Girona,es La Liga,33-161,1989,14,13,1157,12.9,2,1,3,2,0,0,4,0,0.6,0.6,0.3,0.9,17,39,0,0.16,0.08,0.23,0.16,0.23,0.05,0.03,0.07,0.05,0.07,f03f284b
1498,Diego López,es ESP,GK,Rayo Vallecano,es La Liga,41-136,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73683fa9
1499,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25-105,1997,20,16,1514,16.8,0,0,0,0,0,0,8,0,0.6,0.6,1.6,2.2,38,135,24,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,20094685
1500,Pau López,es ESP,GK,Marseille,fr Ligue 1,28-096,1994,23,23,2070,23.0,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,20b9f052
1501,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27-140,1995,24,9,906,10.1,1,2,3,1,0,0,1,0,1.0,1.0,0.8,1.8,12,71,33,0.10,0.20,0.30,0.10,0.30,0.10,0.08,0.18,0.10,0.18,88050721
1502,Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,21-045,2002,22,13,1074,11.9,0,1,1,0,0,0,5,2,0.6,0.6,1.5,2.1,16,76,27,0.00,0.08,0.08,0.00,0.08,0.05,0.12,0.18,0.05,0.18,64c14d49
1503,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37-009,1986,23,23,2013,22.4,0,2,2,0,0,0,3,1,0.9,0.9,0.7,1.7,12,71,32,0.00,0.09,0.09,0.00,0.09,0.04,0.03,0.07,0.04,0.07,07c7eb0c
1504,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24-171,1998,26,21,1935,21.5,0,2,2,0,0,0,4,0,0.5,0.5,0.9,1.4,65,85,75,0.00,0.09,0.09,0.00,0.09,0.02,0.04,0.06,0.02,0.06,fc4cf6a7
1505,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23-033,2000,10,4,433,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5fa57166
1506,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,33-257,1989,11,11,966,10.7,0,0,0,0,0,0,2,0,0.7,0.7,0.5,1.2,11,49,1,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,1a2935f6
1507,Sandi Lovri?,si SVN,MF,Udinese,it Serie A,24-356,1998,26,17,1458,16.2,3,3,6,3,0,0,4,0,2.7,2.7,2.3,5.0,28,72,61,0.19,0.19,0.37,0.19,0.37,0.17,0.14,0.31,0.17,0.31,966eea58
1508,Jamal Lowe,jm JAM,MFFW,Bournemouth,eng Premier League,28-241,1994,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,b2856bc0
1509,Anthony Lozano,hn HON,FW,Cádiz,es La Liga,29-328,1993,21,12,1192,13.2,0,0,0,0,0,0,3,0,1.7,1.7,0.5,2.2,17,25,39,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17,38699c72
1510,Hirving Lozano,mx MEX,FW,Napoli,it Serie A,27-232,1995,24,14,1215,13.5,3,3,6,2,1,1,3,0,4.7,3.9,3.0,6.9,69,42,146,0.22,0.22,0.44,0.15,0.37,0.35,0.22,0.57,0.29,0.51,a69e4806
1511,Pol Lozano,es ESP,MF,Espanyol,es La Liga,23-164,1999,4,0,17,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ea610f00
1512,Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,24-270,1998,6,3,291,3.2,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,5,20,6,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.23,0.19,0.23,a99138af
1513,Jhon Lucumí,co COL,DF,Bologna,it Serie A,24-266,1998,23,23,2000,22.2,0,1,1,0,0,0,6,0,0.5,0.5,0.2,0.8,18,55,3,0.00,0.05,0.05,0.00,0.05,0.02,0.01,0.04,0.02,0.04,80490d7f
1514,José Luis Gayà,es ESP,DF,Valencia,es La Liga,27-298,1995,20,20,1720,19.1,1,2,3,1,0,1,4,0,1.6,0.8,4.3,5.1,50,86,120,0.05,0.10,0.16,0.05,0.16,0.08,0.22,0.31,0.04,0.26,b05e2dbd
1515,José Luis Morales,es ESP,FWMF,Villarreal,es La Liga,35-239,1987,24,8,960,10.7,4,0,4,4,0,0,1,0,4.5,4.5,0.9,5.4,37,10,72,0.37,0.00,0.37,0.37,0.37,0.42,0.09,0.51,0.42,0.51,4a478107
1516,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33-073,1990,9,6,505,5.6,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,3,22,2,0.18,0.00,0.18,0.18,0.18,0.03,0.05,0.08,0.03,0.08,921f6058
1517,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,24-314,1998,26,22,1950,21.7,3,5,8,3,0,0,4,1,1.8,1.8,3.0,4.8,32,94,23,0.14,0.23,0.37,0.14,0.37,0.08,0.14,0.22,0.08,0.22,6f7d826d
1518,Romelu Lukaku,be BEL,FW,Inter,it Serie A,29-310,1993,14,8,698,7.8,3,1,4,1,2,2,1,0,3.7,2.1,1.2,3.3,6,16,76,0.39,0.13,0.52,0.13,0.26,0.48,0.15,0.63,0.28,0.43,5eae500a
1519,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,20-092,2002,25,24,2177,24.2,1,0,1,1,0,0,5,0,0.6,0.6,0.3,0.9,17,135,7,0.04,0.00,0.04,0.04,0.04,0.03,0.01,0.04,0.03,0.04,5b9512c5
1520,Dodi Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,25-176,1997,24,19,1723,19.1,10,1,11,6,4,4,6,0,6.5,3.4,2.8,6.2,68,27,139,0.52,0.05,0.57,0.31,0.37,0.34,0.15,0.49,0.18,0.32,0c61c77c
1521,Saša Luki?,rs SRB,MF,Fulham,eng Premier League,26-218,1996,4,2,210,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,8,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,c6e8cf1f
1522,Saša Luki?,rs SRB,MF,Torino,it Serie A,26-218,1996,16,13,1195,13.3,2,0,2,1,1,1,4,0,1.7,0.9,1.4,2.3,26,44,33,0.15,0.00,0.15,0.08,0.08,0.13,0.11,0.23,0.07,0.18,c6e8cf1f
1523,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24-036,1999,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3061e1ec
1524,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,31-126,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8a6ab963
1525,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26-194,1996,25,25,2164,24.0,1,0,1,1,0,0,4,2,0.7,0.7,0.6,1.3,11,56,3,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,997fff07
1526,Lyanco,br BRA,DF,Southampton,eng Premier League,26-046,1997,14,7,698,7.8,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.3,5,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,b5bf1770
1527,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29-148,1993,18,11,1054,11.7,2,0,2,2,0,0,3,0,0.7,0.7,1.3,2.1,29,52,41,0.17,0.00,0.17,0.17,0.17,0.06,0.11,0.18,0.06,0.18,5efc5389
1528,Youssouf M'Changama,km COM,MF,Auxerre,fr Ligue 1,32-202,1990,19,6,646,7.2,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,15,33,26,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,e05082d1
1529,Awer Mabil,au AUS,MFFW,Cádiz,es La Liga,27-185,1995,5,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,4,14,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.09,0.09,0.09,922da988
1530,Alexis Mac Allister,ar ARG,MF,Brighton,eng Premier League,24-085,1998,22,21,1904,21.2,7,1,8,3,4,4,6,0,7.8,4.6,2.2,6.9,36,113,49,0.33,0.05,0.38,0.14,0.19,0.37,0.11,0.47,0.22,0.32,83d074ff
1531,Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,29-198,1993,25,19,1687,18.7,3,1,4,3,0,0,4,1,1.0,1.0,1.4,2.4,44,45,113,0.16,0.05,0.21,0.16,0.21,0.05,0.08,0.13,0.05,0.13,b3f8bdef
1532,Darwin Machís,ve VEN,FW,Valladolid,es La Liga,30-040,1993,6,4,366,4.1,0,1,1,0,0,0,1,0,0.9,0.9,1.9,2.8,18,6,30,0.00,0.25,0.25,0.00,0.25,0.22,0.48,0.70,0.22,0.70,ed6ea4d9
1533,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,26-116,1996,20,19,1631,18.1,9,6,15,9,0,0,8,0,4.2,4.2,6.2,10.4,47,109,104,0.50,0.33,0.83,0.50,0.83,0.23,0.34,0.57,0.23,0.57,ee38d9c5
1534,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21-009,2002,4,2,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,8,23,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.13,0.06,0.13,bf34eebd
1535,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,25-250,1997,23,22,1920,21.3,1,3,4,1,0,0,4,1,0.9,0.9,2.0,2.9,53,41,90,0.05,0.14,0.19,0.05,0.19,0.04,0.09,0.13,0.04,0.13,5db04597
1536,Lisandro Magallán,ar ARG,DF,Elche,es La Liga,29-173,1993,7,5,404,4.5,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,01a49bd2
1537,Soungoutou Magassa,ml MLI,MF,Monaco,fr Ligue 1,19-162,2003,1,0,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dfc5d4fa
1538,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25-007,1998,12,9,724,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.5,0.9,5,49,10,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,957e4c87
1539,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27-166,1995,14,9,760,8.4,0,0,0,0,0,0,4,1,0.3,0.3,0.1,0.4,1,14,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,cce9f582
1540,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,24-293,1998,23,14,1316,14.6,0,2,2,0,0,0,0,0,0.6,0.6,0.6,1.2,24,55,17,0.00,0.14,0.14,0.00,0.14,0.04,0.04,0.08,0.04,0.08,d4d35152
1541,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,25-271,1997,27,22,2021,22.5,0,0,0,0,0,0,5,0,0.8,0.8,0.9,1.7,11,104,51,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08,caa7aaea
1542,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30-014,1993,11,5,482,5.4,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.4,5,15,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.06,0.07,d8931174
1543,Jon Magunacelaya,es ESP,MFFW,Real Sociedad,es La Liga,22-249,2000,2,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,2,0,3,0.00,0.00,0.00,0.00,0.00,0.03,0.56,0.59,0.03,0.59,d4808594
1544,Riyad Mahrez,dz ALG,FWMF,Manchester City,eng Premier League,32-026,1991,19,12,1061,11.8,5,4,9,4,1,1,2,0,4.6,3.9,3.3,7.2,39,51,152,0.42,0.34,0.76,0.34,0.68,0.39,0.28,0.68,0.33,0.61,892d5bb1
1545,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24-070,1999,21,16,1348,15.0,3,0,3,3,0,0,1,0,1.1,1.1,1.0,2.1,22,51,55,0.20,0.00,0.20,0.20,0.20,0.07,0.07,0.14,0.07,0.14,ab700320
1546,Mike Maignan,fr FRA,GK,Milan,it Serie A,27-259,1995,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fcb38f57
1547,Linton Maina,de GER,FWMF,Köln,de Bundesliga,23-269,1999,24,18,1531,17.0,2,5,7,2,0,0,0,0,3.5,3.5,4.1,7.6,54,48,121,0.12,0.29,0.41,0.12,0.41,0.20,0.24,0.45,0.20,0.45,e5d85da8
1548,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,17-334,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,c6220452
1549,Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,eng Premier League,25-202,1997,15,9,960,10.7,0,0,0,0,0,0,3,0,0.0,0.0,0.6,0.6,10,40,10,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.06,e3a5814e
1550,Jordan Majchrzak,pl POL,FW,Roma,it Serie A,18-162,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2e7dafe5
1551,Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,25-061,1998,22,12,1065,11.8,1,3,4,0,1,1,2,0,2.2,1.4,2.9,4.4,37,86,73,0.08,0.25,0.34,0.00,0.25,0.19,0.25,0.43,0.12,0.37,fc46aab1
1552,Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,24-280,1998,16,11,805,8.9,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.8,18,36,31,0.00,0.11,0.11,0.00,0.11,0.04,0.05,0.09,0.04,0.09,22bfb57e
1553,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,24-280,1998,7,6,526,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,12,28,23,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08,22bfb57e
1554,Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,20-172,2002,8,1,198,2.2,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,9,2,17,0.00,0.00,0.00,0.00,0.00,0.37,0.01,0.38,0.37,0.38,654f49ca
1555,Nemanja Maksimovi?,rs SRB,MF,Getafe,es La Liga,28-052,1995,16,13,1009,11.2,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,6,19,16,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07,00b28772
1556,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,23-214,1999,15,10,920,10.2,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,14,28,20,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,6b6c793c
1557,Lorenzo Malagrida,it ITA,DFMF,Sampdoria,it Serie A,19-146,2003,3,0,49,0.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,2bffcbf2
1558,Daniel Maldini,it ITA,FWMF,Spezia,it Serie A,21-159,2001,14,2,460,5.1,2,0,2,2,0,0,0,0,1.0,1.0,0.1,1.1,9,8,24,0.39,0.00,0.39,0.39,0.39,0.19,0.02,0.21,0.19,0.21,801831fe
1559,Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,24-209,1998,7,4,297,3.3,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,3,11,17,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.36,0.17,0.36,4c8845f7
1560,Youssef Maleh,it ITA,MF,Lecce,it Serie A,24-209,1998,9,5,420,4.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,5,10,14,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,4c8845f7
1561,Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,24-059,1999,17,14,1063,11.8,2,3,5,2,0,0,0,0,3.7,3.7,2.8,6.4,49,31,106,0.17,0.25,0.42,0.17,0.42,0.31,0.24,0.55,0.31,0.55,864163f3
1562,Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,29-319,1993,15,5,553,6.1,1,2,3,1,0,0,2,0,0.6,0.6,2.0,2.6,19,50,36,0.16,0.33,0.49,0.16,0.49,0.10,0.33,0.43,0.10,0.43,48d5bd33
1563,Ruslan Malinovskyi,ua UKR,MFFW,Marseille,fr Ligue 1,29-319,1993,10,6,615,6.8,1,0,1,1,0,0,2,0,1.4,1.4,1.5,2.9,15,31,38,0.15,0.00,0.15,0.15,0.15,0.21,0.21,0.43,0.21,0.43,48d5bd33
1564,Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,31-270,1991,18,18,1473,16.4,0,0,0,0,0,0,4,0,0.9,0.9,1.1,2.0,23,45,76,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,cb574619
1565,Mickael Malsa,mq MTQ,MF,Valladolid,es La Liga,27-158,1995,5,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bbc19252
1566,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22-171,2000,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,d4b73232
1567,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,23-081,1999,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0f86995c
1568,Gianluca Mancini,it ITA,DF,Roma,it Serie A,26-336,1996,25,25,2091,23.2,1,2,3,1,0,0,4,0,1.4,1.4,1.2,2.6,12,62,11,0.04,0.09,0.13,0.04,0.13,0.06,0.05,0.11,0.06,0.11,5aa53281
1569,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,37-356,1985,25,25,2205,24.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,1d2d5cc8
1570,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,29-057,1994,22,22,1857,20.6,0,0,0,0,0,0,4,0,0.4,0.4,0.5,0.9,28,70,41,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,c20bdcd7
1571,Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,31-148,1991,9,5,441,4.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,17,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,fbd6378b
1572,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,25-263,1997,19,14,1269,14.1,2,3,5,2,0,0,6,0,1.2,1.2,3.3,4.5,14,95,39,0.14,0.21,0.35,0.14,0.35,0.08,0.24,0.32,0.08,0.32,c7259b83
1573,Sadio Mané,sn SEN,FW,Bayern Munich,de Bundesliga,30-343,1992,17,13,1031,11.5,6,4,10,5,1,2,1,0,6.7,5.1,2.7,7.8,49,34,134,0.52,0.35,0.87,0.44,0.79,0.59,0.24,0.82,0.44,0.68,c691bfe2
1574,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25-001,1998,16,11,757,8.4,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,10,28,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,a572e291
1575,Thomas Mangani,fr FRA,MF,Ajaccio,fr Ligue 1,35-324,1987,18,9,895,9.9,1,1,2,0,1,2,3,0,1.9,0.3,1.6,1.9,9,72,12,0.10,0.10,0.20,0.00,0.10,0.19,0.16,0.35,0.03,0.19,c801616a
1576,Vito Mannone,it ITA,GK,Lorient,fr Ligue 1,35-017,1988,14,13,1248,13.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,c4173f1a
1577,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,28-318,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,758dd7f0
1578,Myziane Maolida,fr FRA,FWMF,Reims,fr Ligue 1,24-033,1999,5,2,156,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,8,3,19,0.58,0.00,0.58,0.58,0.58,0.12,0.00,0.12,0.12,0.12,706a60e1
1579,Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,24-033,1999,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,706a60e1
1580,Faitout Maouassa,fr FRA,FWDF,Montpellier,fr Ligue 1,24-256,1998,25,19,1553,17.3,3,5,8,3,0,0,0,0,1.9,1.9,2.1,4.0,35,41,84,0.17,0.29,0.46,0.17,0.46,0.11,0.12,0.23,0.11,0.23,e54a9890
1581,Sekou Mara,fr FRA,FWMF,Southampton,eng Premier League,20-232,2002,19,3,451,5.0,0,2,2,0,0,0,1,0,0.9,0.9,0.8,1.6,7,7,25,0.00,0.40,0.40,0.00,0.40,0.18,0.15,0.33,0.18,0.33,3544641e
1582,Maranhão,br BRA,FWMF,Valencia,es La Liga,26-150,1996,16,3,436,4.8,1,0,1,1,0,0,2,1,1.5,1.3,0.4,1.8,2,6,18,0.21,0.00,0.21,0.21,0.21,0.30,0.09,0.39,0.28,0.36,ae86d473
1583,Marcão,br BRA,DF,Sevilla,es La Liga,26-287,1996,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133faa84
1584,Solly March,eng ENG,FWDF,Brighton,eng Premier League,28-242,1994,25,25,2150,23.9,7,4,11,7,0,0,2,0,6.5,6.5,5.1,11.5,83,109,284,0.29,0.17,0.46,0.29,0.46,0.27,0.21,0.48,0.27,0.48,bb5fbd2b
1585,Agustín Marchesín,ar ARG,GK,Celta Vigo,es La Liga,35-003,1988,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,853b7c48
1586,Federico Marchetti,it ITA,GK,Spezia,it Serie A,40-040,1983,1,0,66,0.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f794b426
1587,Vincent Marchetti,fr FRA,MF,Ajaccio,fr Ligue 1,25-258,1997,23,22,1835,20.4,0,1,1,0,0,0,5,0,1.7,1.7,1.1,2.7,49,114,47,0.00,0.05,0.05,0.00,0.05,0.08,0.05,0.13,0.08,0.13,740f00ac
1588,Riccardo Marchizza,it ITA,DF,Sassuolo,it Serie A,24-358,1998,7,2,181,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,7,10,0.00,0.50,0.50,0.00,0.50,0.00,0.12,0.12,0.00,0.12,91d0fabf
1589,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31-032,1992,23,19,1714,19.0,1,0,1,1,0,0,5,0,1.1,1.1,0.0,1.1,10,64,1,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.06,0.06,0.06,8650af85
1590,Emiliano Marcondes,dk DEN,MF,Bournemouth,eng Premier League,28-010,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4d960fc3
1591,Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,33-339,1989,26,23,1974,21.9,0,5,5,0,0,0,4,0,0.2,0.2,3.0,3.2,50,141,98,0.00,0.23,0.23,0.00,0.23,0.01,0.13,0.14,0.01,0.14,9f323c71
1592,José Mari,es ESP,MF,Cádiz,es La Liga,35-103,1987,13,2,325,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.4,4,19,1,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,6f4c734d
1593,Pablo Marí,es ESP,DF,Monza,it Serie A,29-200,1993,20,18,1672,18.6,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.6,4,42,2,0.05,0.00,0.05,0.05,0.05,0.03,0.00,0.03,0.03,0.03,aa54ec6f
1594,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,28-058,1995,17,15,1433,15.9,1,0,1,1,0,0,7,0,1.3,1.3,0.1,1.5,6,39,3,0.06,0.00,0.06,0.06,0.06,0.08,0.01,0.09,0.08,0.09,f0da930c
